acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id,date,hour_min_sec
2020-04-09T15:04:12.867348Z,0,99,100,0,0,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2020-08-28T23:39:35Z,finalized,standard,178.2,2278,0,0,3303952,128.7,49.4,2023-05-05T07:13:03Z,0.1,82,100,20200409_150412_86_2278,20200409,150412
2020-04-09T15:04:15.086675Z,0,99,100,0,0,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2020-08-28T23:39:16Z,finalized,standard,177.2,2278,0,0,3303952,128.5,49.5,2023-05-05T07:13:39Z,0.1,84,100,20200409_150415_08_2278,20200409,150415
2020-05-16T15:05:44.338555Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2020-08-29T02:13:05Z,finalized,standard,277.9,2277,0,0,3402417,117.0,58.8,2023-05-05T22:44:51Z,5.0,98,100,20200516_150544_33_2277,20200516,150544
2020-05-16T15:06:22.964972Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2020-08-29T03:08:06Z,finalized,standard,275.6,2304,0,0,3402546,117.0,58.8,2023-05-05T22:51:43Z,3.0,83,100,20200516_150622_96_2304,20200516,150622
2020-06-01T15:03:15.320044Z,0,99,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2020-08-28T17:18:00Z,finalized,standard,101.3,2304,0,0,3448687,112.5,60.4,2023-05-06T06:21:01Z,5.0,69,100,20200601_150315_32_2304,20200601,150315
2020-06-01T15:03:17.717608Z,0,99,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2020-08-28T17:18:09Z,finalized,standard,101.3,2304,0,0,3448687,112.2,60.4,2023-05-06T06:20:57Z,5.0,84,100,20200601_150317_71_2304,20200601,150317
2020-07-28T15:04:19.48297Z,0,98,100,0,0,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2023-05-07T01:23:57Z,finalized,standard,272.9,2212,0,0,3606591,115.0,56.6,2023-05-07T01:23:57Z,1.0,88,100,20200728_150419_48_2212,20200728,150419
2020-08-11T15:09:40.319811Z,0,100,100,0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2020-08-11T23:39:29Z,finalized,standard,277.1,2259,0,0,3641992,121.3,54.7,2023-05-07T05:25:12Z,4.1,79,100,20200811_150940_31_2259,20200811,150940
2020-08-11T15:09:42.535353Z,0,99,100,0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2020-08-11T23:39:53Z,finalized,standard,277.1,2259,0,0,3641992,121.1,54.8,2023-05-07T05:25:27Z,4.1,88,100,20200811_150942_53_2259,20200811,150942
2020-08-30T15:04:32.349143Z,0,99,100,0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2020-08-31T02:50:24Z,finalized,standard,106.7,220b,0,0,3689198,128.9,50.5,2023-05-07T13:17:52Z,1.0,99,100,20200830_150432_34_220b,20200830,150432
2020-08-30T15:04:34.560055Z,0,95,100,0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2023-05-07T13:21:48Z,finalized,standard,107.0,220b,0,0,3689198,128.7,50.5,2023-05-07T13:21:48Z,1.0,95,100,20200830_150434_56_220b,20200830,150434
2020-08-30T15:04:36.770967Z,0,95,100,0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2023-05-07T13:23:30Z,finalized,standard,106.6,220b,0,0,3689198,128.5,50.6,2023-05-07T13:23:30Z,1.0,79,100,20200830_150436_77_220b,20200830,150436
2020-09-23T15:08:10.477074Z,0,98,100,0,0,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2020-09-24T05:23:03Z,finalized,standard,277.2,222b,0,0,3751471,139.2,44.2,2022-12-21T00:03:19Z,5.0,79,100,20200923_150810_47_222b,20200923,150810
2020-09-23T15:08:12.687986Z,0,98,100,0,0,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2020-09-24T05:23:02Z,finalized,standard,277.4,222b,0,0,3751471,139.0,44.3,2022-12-21T00:03:20Z,5.0,81,100,20200923_150812_68_222b,20200923,150812
2020-10-01T15:58:10.021167Z,0,99,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-03-17T21:14:29Z,finalized,standard,182.7,240f,0,0,3774120,158.8,47.2,2022-12-17T08:29:32Z,0.1,72,100,20201001_155810_02_240f,20201001,155810
2020-10-05T15:10:08.888735Z,0,100,100,0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2020-10-05T23:28:48Z,finalized,standard,276.4,2277,0,0,3784805,144.3,41.0,2022-12-17T19:05:03Z,3.0,100,100,20201005_151008_88_2277,20201005,151008
2020-10-05T15:10:11.078835Z,0,99,100,0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2020-10-05T23:29:02Z,finalized,standard,276.5,2277,0,0,3784805,144.2,41.1,2022-12-17T19:05:03Z,3.0,80,100,20201005_151011_07_2277,20201005,151011
2020-10-24T15:56:05.464084Z,0,98,100,0,0,True,4.2,0,PSB.SD,PSScene,0,3,planetscope,2020-10-25T07:11:37Z,finalized,standard,101.4,2307,0,0,3837279,163.5,39.2,2022-12-17T09:18:12Z,5.0,81,100,20201024_155605_46_2307,20201024,155605
2020-10-24T15:56:07.825839Z,0,97,100,0,0,True,4.2,0,PSB.SD,PSScene,0,3,planetscope,2020-10-25T07:11:37Z,finalized,standard,101.5,2307,0,0,3837279,163.5,39.3,2022-12-17T09:18:12Z,5.0,82,100,20201024_155607_82_2307,20201024,155607
2020-11-03T15:58:30.798234Z,0,98,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2020-11-04T05:16:58Z,finalized,standard,185.7,240f,0,0,3864575,164.6,36.0,2022-12-18T21:41:25Z,0.1,79,100,20201103_155830_79_240f,20201103,155830
2020-11-03T15:58:33.161364Z,0,97,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2020-11-04T05:16:58Z,finalized,standard,184.9,240f,0,0,3864575,164.5,36.1,2022-12-18T21:41:25Z,0.0,81,100,20201103_155833_16_240f,20201103,155833
