acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id,date,hour_min_sec
2021-07-01T15:51:46.456044Z,0,99,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-07-02T03:24:01Z,finalized,standard,100.9,2426,0,0,4645129,125.6,68.3,2022-12-01T13:39:10Z,5.0,79,100,20210701_155146_45_2426,20210701,155146
2021-07-01T15:51:48.750803Z,0,100,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-07-02T03:24:01Z,finalized,standard,100.9,2426,0,0,4645129,125.3,68.3,2022-12-01T13:39:10Z,5.0,79,100,20210701_155148_75_2426,20210701,155148
2021-07-05T15:02:10.242035Z,0,98,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-07-06T00:53:53Z,finalized,standard,101.5,2427,0,0,4658968,109.1,59.1,2022-12-02T05:31:53Z,3.9,73,100,20210705_150210_24_2427,20210705,150210
2021-07-06T14:59:35.458039Z,0,98,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-07-08T18:53:45Z,finalized,standard,101.0,2455,0,0,4667569,108.9,58.8,2022-12-05T15:20:19Z,5.2,98,100,20210706_145935_45_2455,20210706,145935
2021-07-06T14:59:37.761639Z,0,98,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-07-08T18:53:45Z,finalized,standard,101.0,2455,0,0,4667569,108.6,58.8,2022-12-05T15:20:19Z,5.2,98,100,20210706_145937_76_2455,20210706,145937
2021-07-06T15:03:36.051097Z,0,99,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-07-07T01:47:17Z,finalized,standard,274.3,2459,0,0,4662188,109.3,58.8,2022-12-05T02:14:31Z,2.0,99,100,20210706_150336_05_2459,20210706,150336
2021-07-06T15:03:38.354697Z,0,99,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-07-07T01:47:17Z,finalized,standard,274.5,2459,0,0,4662188,109.0,58.8,2022-12-05T02:14:31Z,2.0,99,100,20210706_150338_35_2459,20210706,150338
2021-07-06T15:03:40.658297Z,0,99,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-07-07T01:47:17Z,finalized,standard,274.6,2459,0,0,4662188,108.8,58.8,2022-12-05T02:14:31Z,2.0,73,100,20210706_150340_65_2459,20210706,150340
2021-07-06T15:04:08.501891Z,0,79,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-12-05T19:56:10Z,finalized,standard,277.3,2457,0,0,4663278,109.3,58.9,2022-12-05T19:56:10Z,5.0,79,100,20210706_150408_50_2457,20210706,150408
2021-07-06T15:04:10.80393Z,0,97,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-07-07T13:25:16Z,finalized,standard,277.2,2457,0,0,4663278,109.1,58.9,2022-12-05T19:56:10Z,5.0,97,100,20210706_150410_80_2457,20210706,150410
