acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id,date,hour_min_sec,Useful_Scene
2022-01-04T14:56:12.107777Z,0,93,66,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-01-04T21:09:46Z,finalized,standard,101.6,2457,0,34,5256563,147.1,22.4,2022-10-23T23:41:45Z,5.4,71,100,20220104_145612_10_2457,20220104,145612,N
2022-01-08T14:57:24.181709Z,0,97,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-01-09T02:21:24Z,finalized,standard,100.7,2431,0,0,5268783,146.6,22.9,2022-10-23T23:50:13Z,5,74,100,20220108_145724_18_2431,20220108,145724,Y
2022-01-10T15:44:13.043349Z,0,98,100,0,0,TRUE,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-01-11T02:09:32Z,finalized,standard,110.9,2307,0,0,5275293,157.1,27.3,2022-10-25T10:58:53Z,1,98,100,20220110_154413_04_2307,20220110,154413,N
2022-01-10T15:44:15.349029Z,0,98,100,0,0,TRUE,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-01-11T02:09:32Z,finalized,standard,110.4,2307,0,0,5275293,157,27.5,2022-10-25T10:58:53Z,1.1,98,100,20220110_154415_34_2307,20220110,154415,N
2022-01-10T15:47:41.228478Z,0,99,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-01-11T01:18:24Z,finalized,standard,100.9,2405,0,0,5275310,157.9,27.6,2022-10-24T10:30:49Z,5,99,100,20220110_154741_22_2405,20220110,154741,Y
2022-01-10T15:47:43.520638Z,0,98,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-01-11T01:18:24Z,finalized,standard,100.8,2405,0,0,5275310,157.9,27.7,2022-10-24T10:30:49Z,5,82,100,20220110_154743_52_2405,20220110,154743,N
2022-01-11T15:01:31.108441Z,0,97,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-01-12T00:10:28Z,finalized,standard,276.9,2465,0,0,5278084,146.4,23,2022-10-24T08:00:23Z,3,97,100,20220111_150131_10_2465,20220111,150131,N
2022-01-11T15:01:33.411001Z,0,98,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-01-12T00:10:28Z,finalized,standard,277,2465,0,0,5278084,146.3,23.2,2022-10-24T08:00:23Z,3,98,100,20220111_150133_41_2465,20220111,150133,Y
2022-01-11T15:01:35.713561Z,0,95,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-01-12T00:10:28Z,finalized,standard,277,2465,0,0,5278084,146.2,23.3,2022-10-24T08:00:24Z,3,75,100,20220111_150135_71_2465,20220111,150135,N
2022-01-11T15:02:06.268259Z,0,95,100,0,0,TRUE,3.8,0,PSB.SD,PSScene,0,3,planetscope,2022-01-12T01:07:46Z,finalized,standard,178.8,2235,0,0,5278632,146.6,23.3,2022-10-23T23:21:16Z,0.1,75,100,20220111_150206_26_2235,20220111,150206,N
2022-01-11T15:02:08.479171Z,0,91,100,0,0,TRUE,3.8,0,PSB.SD,PSScene,0,3,planetscope,2022-01-12T01:07:46Z,finalized,standard,179.1,2235,0,0,5278632,146.5,23.4,2022-10-23T23:21:16Z,0.1,73,100,20220111_150208_47_2235,20220111,150208,N
2022-01-15T15:48:37.603802Z,0,95,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-01-16T01:35:28Z,finalized,standard,101.5,2402,0,0,5290911,157.2,28.1,2023-05-10T01:55:12Z,3,68,100,20220115_154837_60_2402,20220115,154837,N
