acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id,date,hour_min_sec,Useful_Scene
2021-01-06T15:59:24.886162Z,0,50,1,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2021-01-07T06:33:42Z,finalized,standard,277.9,2406,0,98,4048733,160.4,27.7,2022-12-14T12:03:01Z,5.1,62,100,20210106_155924_88_2406,20210106,155924,N
2021-01-12T15:59:13.458651Z,0,97,100,0,0,TRUE,4.2,0,PSB.SD,PSScene,0,3,planetscope,2021-01-13T08:59:13Z,finalized,standard,277.9,2254,0,0,4065701,159.5,28.3,2022-12-14T03:15:27Z,5.1,78,100,20210112_155913_45_2254,20210112,155913,N
2021-01-15T15:11:34.025375Z,0,96,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2021-01-16T02:27:35Z,finalized,standard,104.1,2251,0,0,4072980,148.3,24.9,2022-12-13T05:39:25Z,2.1,77,100,20210115_151134_02_2251,20210115,151134,N
2021-01-15T15:11:36.294544Z,0,94,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-12-13T05:39:25Z,finalized,standard,104,2251,0,0,4072980,148.2,25,2022-12-13T05:39:25Z,2.1,67,100,20210115_151136_29_2251,20210115,151136,N
2021-01-20T15:56:30.824453Z,0,96,100,0,0,TRUE,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-01-21T01:10:51Z,finalized,standard,270.9,2424,0,0,4086538,158,29.7,2022-12-14T07:39:37Z,0.9,71,100,20210120_155630_82_2424,20210120,155630,Y
2021-01-22T15:59:21.98212Z,0,99,100,0,0,TRUE,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-01-23T04:41:20Z,finalized,standard,278,241c,0,0,4092069,157.9,29.9,2022-12-15T13:04:30Z,5,86,100,20210122_155921_98_241c,20210122,155921,N
2021-01-22T15:59:24.332842Z,0,99,100,0,0,TRUE,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-01-23T04:41:20Z,finalized,standard,277.9,241c,0,0,4092069,157.9,30.1,2022-12-15T13:04:31Z,5,81,100,20210122_155924_33_241c,20210122,155924,N
2021-01-23T15:53:17.234625Z,0,99,100,0,0,TRUE,4.2,0,PSB.SD,PSScene,0,3,planetscope,2021-01-24T02:36:58Z,finalized,standard,100.9,2254,0,0,4095155,157.6,30.3,2022-12-14T19:27:29Z,5,99,100,20210123_155317_23_2254,20210123,155317,N
2021-01-23T15:53:19.585062Z,0,99,100,0,0,TRUE,4.2,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T19:27:29Z,finalized,standard,100.8,2254,0,0,4095155,157.6,30.5,2022-12-14T19:27:29Z,5,99,100,20210123_155319_58_2254,20210123,155319,N
2021-01-30T15:54:07.349385Z,0,99,100,0,0,TRUE,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-01-31T04:38:46Z,finalized,standard,101.9,2416,0,0,4115379,156.5,31.8,2022-12-14T23:45:34Z,4,82,100,20210130_155407_34_2416,20210130,155407,N
2021-01-30T15:54:09.700635Z,0,95,100,0,0,TRUE,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T23:45:34Z,finalized,standard,101.8,2416,0,0,4115379,156.4,31.9,2022-12-14T23:45:34Z,4,74,100,20210130_155409_70_2416,20210130,155409,N
2021-02-17T15:54:25.224442Z,0,98,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2021-02-18T15:37:38Z,finalized,standard,103.8,2407,0,0,4174898,154,37.1,2022-12-14T19:33:38Z,2,98,100,20210217_155425_22_2407,20210217,155425,N
2021-02-17T15:54:27.505698Z,0,98,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2021-02-18T18:28:05Z,finalized,standard,103.8,2407,0,0,4174898,153.9,37.3,2022-12-14T19:33:38Z,2,98,100,20210217_155427_50_2407,20210217,155427,N
2021-02-21T15:55:37.427569Z,0,100,100,0,0,TRUE,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-02-22T17:10:01Z,finalized,standard,106.8,227a,0,0,4187477,153.3,38.4,2022-12-15T13:29:59Z,1,100,100,20210221_155537_42_227a,20210221,155537,N
2021-02-21T15:55:39.804405Z,0,99,100,0,0,TRUE,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-02-22T17:10:01Z,finalized,standard,106.4,227a,0,0,4187477,153.2,38.5,2022-12-15T13:29:59Z,1,99,100,20210221_155539_80_227a,20210221,155539,N
