acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id,date,hour_min_sec,Useful_Scene
2022-07-05T15:25:48.402145Z,0,96,99,0,0,TRUE,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-07-07T03:51:50Z,finalized,standard,100.7,247e,0,0,5763411,116.3,63.7,2022-07-07T11:29:47Z,5,71,100,20220705_152548_40_247e,20220705,152548,Y
2022-07-05T15:25:50.698867Z,0,98,100,0,0,TRUE,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-07-07T02:08:17Z,finalized,standard,100.8,247e,0,0,5763411,116,63.8,2022-07-07T11:29:46Z,5,79,100,20220705_152550_69_247e,20220705,152550,N
2022-07-05T15:30:53.392272Z,0,100,100,0,0,TRUE,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-07-07T08:54:36Z,finalized,standard,277.6,247d,0,0,5764937,116.3,63.7,2022-07-07T14:48:19Z,5,79,100,20220705_153053_39_247d,20220705,153053,N
2022-07-12T15:25:34.695435Z,0,98,99,0,0,TRUE,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-07-13T04:47:48Z,finalized,standard,100.8,24a5,0,0,5780522,117.1,63,2022-07-13T08:45:34Z,5,81,100,20220712_152534_69_24a5,20220712,152534,N
2022-07-17T14:51:19.003997Z,0,93,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-07-18T02:31:12Z,finalized,standard,101.4,2457,0,0,5793028,108.6,56.1,2022-07-18T05:07:46Z,5,93,100,20220717_145119_00_2457,20220717,145119,N
2022-07-17T14:51:21.297716Z,0,94,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-07-18T02:31:12Z,finalized,standard,101.4,2457,0,0,5793028,108.3,56.1,2022-07-18T05:07:35Z,5,94,100,20220717_145121_29_2457,20220717,145121,N
2022-07-20T15:45:22.259627Z,0,95,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2023-02-04T19:19:13Z,finalized,standard,271.1,2402,0,0,5799527,125.5,64.8,2023-02-04T19:19:13Z,1,82,100,20220720_154522_25_2402,20220720,154522,Y
2022-07-20T15:45:24.521867Z,0,96,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2023-02-04T19:19:13Z,finalized,test,271.2,2402,0,0,5799527,125.3,64.8,2023-02-04T19:19:13Z,1,73,100,20220720_154524_52_2402,20220720,154524,N
2022-07-23T14:55:08.608727Z,0,96,88,0,0,TRUE,4,0,PSB.SD,PSScene,11,3,planetscope,2022-07-24T01:16:18Z,finalized,standard,101,2421,0,0,5806295,110.9,55.9,2022-07-24T04:34:28Z,5,68,100,20220723_145508_60_2421,20220723,145508,Y
2022-07-23T14:55:10.902967Z,0,99,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-07-24T01:16:16Z,finalized,standard,101,2421,0,0,5806295,110.7,55.9,2022-07-24T04:34:29Z,5,70,100,20220723_145510_90_2421,20220723,145510,N
2022-07-30T15:11:14.311833Z,0,99,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-07-31T10:42:20Z,finalized,standard,100.9,2276,0,0,5822987,117.9,58,2022-07-31T17:45:26Z,5,99,100,20220730_151114_31_2276,20220730,151114,N
2022-07-30T15:11:16.591511Z,0,99,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-07-31T10:42:18Z,finalized,standard,100.9,2276,0,0,5822987,117.6,58,2022-07-31T17:45:18Z,5,99,100,20220730_151116_59_2276,20220730,151116,N
2022-08-02T15:27:21.211855Z,0,86,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-08-03T03:44:17Z,finalized,test,104,249b,0,0,5829601,123.4,59.9,2022-09-04T21:33:23Z,2,59,100,20220802_152721_21_249b,20220802,152721,N
2022-08-03T14:52:44.397024Z,0,95,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-08-04T00:41:26Z,finalized,standard,100.9,2448,0,0,5831547,113.8,53.8,2022-08-04T03:57:07Z,5,61,100,20220803_145244_39_2448,20220803,145244,N
2022-08-03T15:27:00.993926Z,0,93,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-08-04T01:01:16Z,finalized,test,103.8,249c,0,0,5831882,124,59.8,2022-10-28T02:42:11Z,2,93,100,20220803_152700_99_249c,20220803,152700,N
2022-08-09T14:54:23.432842Z,0,97,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-08-10T03:47:23Z,finalized,standard,108.6,2436,0,0,5844835,116.5,52.8,2022-08-10T13:14:51Z,1.9,97,100,20220809_145423_43_2436,20220809,145423,N
2022-08-09T14:54:25.7276Z,0,97,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-08-10T09:20:34Z,finalized,standard,108.5,2436,0,0,5844835,116.3,52.8,2022-08-10T13:14:51Z,1.6,73,100,20220809_145425_72_2436,20220809,145425,N
2022-08-09T15:28:28.839826Z,0,94,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-08-10T01:15:29Z,finalized,standard,276.4,248e,0,0,5844652,126.5,58.5,2022-08-10T04:42:20Z,3,73,100,20220809_152828_83_248e,20220809,152828,Y
2022-08-09T15:28:31.134446Z,0,93,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-08-10T01:15:29Z,finalized,standard,276.6,248e,0,0,5844652,126.2,58.6,2022-08-10T04:42:27Z,3,73,100,20220809_152831_13_248e,20220809,152831,N
2022-08-10T14:51:39.928851Z,0,97,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-08-10T22:26:33Z,finalized,standard,101.3,2442,0,0,5846720,116.1,52.7,2022-08-11T04:41:21Z,5,78,100,20220810_145139_92_2442,20220810,145139,N
2022-08-13T14:54:24.512115Z,0,97,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2022-08-13T23:37:50Z,finalized,test,100.8,2434,0,0,5853560,118.2,52.5,2022-08-14T09:57:36Z,5,97,100,20220813_145424_51_2434,20220813,145424,N
