acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id,date,hour_min_sec,Useful_Scene,
2023-01-07T15:27:09.737766Z,0,94,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2023-01-08T01:07:35Z,finalized,standard,100.6,2470,0,0,6196152,153.5,25.6,2023-01-08T07:03:50Z,5.1,69,100,20230107_152709_73_2470,20230107,152709,N,
2023-01-09T14:54:12.72997Z,0,96,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2023-01-10T02:34:41Z,finalized,standard,273.3,2453,0,0,6200385,145.2,22.1,2023-01-11T01:05:28Z,1.4,68,100,20230109_145412_72_2453,20230109,145412,N,
2023-01-09T14:54:15.040847Z,0,95,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2023-01-10T00:52:58Z,finalized,standard,274.3,2453,0,0,6200385,145.1,22.2,2023-01-11T01:05:28Z,1.4,81,100,20230109_145415_04_2453,20230109,145415,N,
2023-01-09T15:27:55.596231Z,0,95,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2023-01-10T00:58:19Z,finalized,standard,110.1,24a3,0,0,6200740,153.3,25.8,2023-01-13T08:11:06Z,0.8,83,100,20230109_152755_59_24a3,20230109,152755,N,
2023-01-15T15:28:12.593236Z,0,96,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2023-01-15T23:26:54Z,finalized,standard,121.3,2488,0,0,6214306,152.2,26.4,2023-01-16T04:01:21Z,0.4,71,100,20230115_152812_59_2488,20230115,152812,N,
2023-01-15T15:28:14.921776Z,0,96,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2023-01-15T23:26:54Z,finalized,standard,121.6,2488,0,0,6214306,152.1,26.5,2023-01-16T04:01:21Z,0.4,96,100,20230115_152814_92_2488,20230115,152814,N,
2023-01-15T15:28:17.250316Z,0,96,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2023-01-15T23:26:54Z,finalized,standard,119.6,2488,0,0,6214306,152,26.6,2023-01-16T04:01:21Z,0.4,65,100,20230115_152817_25_2488,20230115,152817,N,
2023-01-16T15:28:33.843102Z,0,95,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2023-01-17T08:22:48Z,finalized,standard,104.2,249a,0,0,6216578,152.3,26.6,2023-01-17T12:58:56Z,2.1,62,100,20230116_152833_84_249a,20230116,152833,N,
2023-01-16T15:28:36.152394Z,0,93,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2023-01-17T08:22:48Z,finalized,standard,104.2,249a,0,0,6216578,152.2,26.8,2023-01-17T12:58:54Z,2.1,60,100,20230116_152836_15_249a,20230116,152836,N,
2023-01-20T15:38:14.781136Z,0,95,100,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2023-01-21T01:12:28Z,finalized,standard,277.7,2416,0,0,6226266,153.1,27.8,2023-01-21T07:02:57Z,5,71,100,20230120_153814_78_2416,20230120,153814,N,
2023-01-20T15:38:17.095396Z,0,94,99,0,0,TRUE,4,0,PSB.SD,PSScene,0,3,planetscope,2023-01-21T01:12:28Z,finalized,standard,277.7,2416,1,0,6226266,153,27.9,2023-01-21T07:02:57Z,5,63,100,20230120_153817_09_2416,20230120,153817,N,
2023-01-21T15:27:25.891119Z,0,96,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2023-01-21T22:45:57Z,finalized,standard,101,247b,0,0,6228174,151.4,27.6,2023-01-22T04:37:22Z,4.2,96,100,20230121_152725_89_247b,20230121,152725,N,
2023-01-21T15:28:53.258572Z,0,96,100,0,0,TRUE,3.9,0,PSB.SD,PSScene,0,3,planetscope,2023-01-22T00:53:04Z,finalized,standard,102.5,2477,0,0,6228345,151.3,27.6,2023-01-22T04:36:55Z,2.9,64,100,20230121_152853_25_2477,20230121,152853,N,
2023-01-24T15:14:13.431783Z,0,94,100,0,0,TRUE,3.7,0,PSB.SD,PSScene,0,3,planetscope,2023-01-25T02:29:11Z,finalized,test,273.2,2262,0,0,6235359,147.2,26.4,2023-01-27T00:57:25Z,1.7,53,100,20230124_151413_43_2262,20230124,151413,N,
